Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,BEA3a6,BEA3d8,BEA3t6,BEA3u6
Amphipoda,Gammaridae,6,,GC,,11,,
Amphipoda,Talitridae,8,,GC,8,,,
Annelida,Glossiphoniidae,8,,PR,3,,,
Annelida,Oligochaeta,10,,GC,3,3,26,12
Coleoptera,Dryopidae,5,,SC,,1,,
Coleoptera,Elmidae,4,,GC,14,3,2,5
Coleoptera,Hydrophilidae,5,,PR,,1,,
Diptera,Athericidae,2,,PR,,,,2
Diptera,Chironomidae,6,,GC,,,32,26
Diptera,Empididae,4,,GC,,,22,
Diptera,Tipulidae,3,,SH (GC),2,,,
Ephemeroptera,Baetidae,4,,GC,6,,11,2
Ephemeroptera,Caenidae,7,,GC,,1,,
Ephemeroptera,Heptageniidae,4,,SC (CG),1,71,,
Ephemeroptera,Oligoneuriidae,2,,FC,,1,1,
Hemiptera,Belostomatidae,10,,PR,,1,,
Hemiptera,Veliidae,NA,,NA,,,,1
Megaloptera,Sialidae,4,,PR,,1,,
Nematomorpha,,NA,,PA,,,,1
Odonata,Calopterygidae,5,,PR,,3,,
Trichoptera,Brachycentridae,1,,FC,,,4,22
Trichoptera,Hydropsychidae,4,,FC,39,3,25,26
Trichoptera,Hydroptilidae,4,,SC,,,7,
Trichoptera,Limnephilidae,4,,SH,1,,,
Trombidiforms,hydracarina,4,,PR,,,1,
veneroida,pisidiidae,8,,FC,,,1,
